"GEO_ID","id",
"NAME","Geographic Area Name",
"S1701_C01_001E","Total!!Estimate!!Population for whom poverty status is determined",
"S1701_C01_001M","Total!!Margin of Error!!Population for whom poverty status is determined",
"S1701_C01_002E","Total!!Estimate!!AGE!!Under 18 years",
"S1701_C01_002M","Total!!Margin of Error!!AGE!!Under 18 years",
"S1701_C01_003E","Total!!Estimate!!AGE!!Under 18 years!!Related children under 18 years",
"S1701_C01_003M","Total!!Margin of Error!!AGE!!Under 18 years!!Related children under 18 years",
"S1701_C01_004E","Total!!Estimate!!AGE!!18 to 64 years",
"S1701_C01_004M","Total!!Margin of Error!!AGE!!18 to 64 years",
"S1701_C01_005E","Total!!Estimate!!AGE!!65 years and over",
"S1701_C01_005M","Total!!Margin of Error!!AGE!!65 years and over",
"S1701_C01_006E","Total!!Estimate!!SEX!!Male",
"S1701_C01_006M","Total!!Margin of Error!!SEX!!Male",
"S1701_C01_007E","Total!!Estimate!!SEX!!Female",
"S1701_C01_007M","Total!!Margin of Error!!SEX!!Female",
"S1701_C01_008E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S1701_C01_008M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race",
"S1701_C01_009E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S1701_C01_009M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White",
"S1701_C01_010E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S1701_C01_010M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American",
"S1701_C01_011E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S1701_C01_011M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native",
"S1701_C01_012E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
"S1701_C01_012M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian",
